Product Code,Product Description,Product,Price Excl.,QTY,Price INC,Total inc,Price Excluding x 1.5,Retail IN VAT.,Total Stock @ Retail Price,Huntex sale piece /1.1,Huntes Rounded to next 10,Sold
TLAB-LX,LABRADAR LX CHRONOGRAPH FDE INCL FREE CASE,26,9000,5,10350,51749.99999999999,13500,13500,67500,12272.727272727272,12270,
,,,,,,,,,,0,0,
9942,HORNADY STEVE HORNADY SIGNATURE MESH BOONIE,Caps,453,2,520.9499999999999,1041.8999999999999,679.5,680,1360,618.1818181818181,620,
,,,,,0,0,0,0,0,0,0,
RBH22252,HORNADY 22-35gr V-MAX (100),Punte,533.54,5,613.5709999999999,3067.8549999999996,800.31,800,4000,727.2727272727273,730,
RBH22241,HORNADY 22-40gr V-MAX (100),Punte,533.54,5,613.5709999999999,3067.8549999999996,800.31,800,4000,727.2727272727273,730,
RBH2245,HORNADY 22-50gr SP (100),Punte,399.9,5,,2299.4249999999997,,,,,,
RBH22491,HORNADY 22-52gr ELD-Match (100),Punte,537.96,5,618.654,3093.27,806.94,810,4050,736.3636363636363,740,
2270,P 224 60GR HORNADY SP (100),Punte,429.53,4,493.95949999999993,1975.8379999999997,644.295,640,2560,581.8181818181818,580,
RBH2278,HORNADY 22-68gr BTHP MATC (100),Punte,574.3,5,660.4449999999999,3302.225,861.4499999999999,860,4300,781.8181818181818,780,
RBH22831,HORNADY 22- 80gr ELD Match (100),Punte,643.25,5,739.7375,3698.6874999999995,964.875,960,4800,872.7272727272726,870,
RBH22834,HORNADY 22- 88gr ELD Match (100),Punte,665.05,5,764.8074999999999,3824.0375,997.5749999999999,1000,5000,909.090909090909,910,
,,Punte,,,0,0,0,0,0,0,0,
RBH2552,HORNADY 25-117gr BTSP (100),Punte,709.35,5,815.7524999999999,4078.7625,1064.025,1060,5300,963.6363636363635,960,
RBH25522,HORNADY 25-117gr SST(100),Punte,866.17,5,996.0954999999999,4980.477499999999,1299.2549999999999,1300,6500,1181.8181818181818,1180,
RBH23010,HORNADY 30-110gr V-MAX (100),Punte,786.27,5,904.2104999999999,4521.0525,1179.405,1180,5900,1072.7272727272727,1070,
RBH3019,HORNADY 30-125gr SST (100),Punte,801.57,5,921.8054999999999,4609.0275,1202.355,1200,6000,1090.9090909090908,1090,
RBH3035,HORNADY 30-150gr RN (100),Punte,777.5,5,894.1249999999999,4470.625,1166.25,1170,5850,1063.6363636363635,1060,
RBH3031,HORNADY 30-150gr SP (100),Punte,677.61,5,779.2515,3896.2574999999997,1016.415,1020,5100,927.2727272727273,930,
RBH3037,HORNADY 30-150gr FMJ-BT (100),Punte,647.59,5,744.7284999999999,3723.6425,971.385,970,4850,881.8181818181818,880,3
RBH30313,HORNADY 30-155gr ELD Match (100),Punte,994.84,5,1144.066,5720.329999999999,1492.26,1490,7450,1354.5454545454545,1350,
RBH3040,HORNADY 30-165gr SP (100),Punte,803.3,5,923.7949999999998,4618.974999999999,1204.9499999999998,1200,6000,1090.9090909090908,1090,
3045,P 308 165GR HORNADY INTERLOCK BTSP (100),Punte,753.33,2,866.3294999999999,1732.6589999999999,1129.9950000000001,1130,2260,1027.2727272727273,1030,
RBH30501,HORNADY 30-168gr BTHP MATCH (100),Punte,849.48,5,976.9019999999999,4884.509999999999,1274.22,1270,6350,1154.5454545454545,1150,
RBH305071,HORNADY 30-168gr HPBT (500),Punte,4526.62,1,5205.612999999999,5205.612999999999,6789.93,6790,6790,6172.727272727272,6170,
RBH30620,HORNADY 30-174gr ELD-VT (100),Punte,1002.65,2,1153.0475,2306.095,1503.975,1500,3000,1363.6363636363635,1360,
RBH307191,HORNADY 30-175gr HPBT (500),Punte,4811.41,1,5533.121499999999,5533.121499999999,7217.115,7220,7220,6563.636363636363,6560,
RBH30713,HORNADY 30-178gr ELD MATCH (100),Punte,969.9,10,1115.385,11153.849999999999,1454.85,1450,14500,1318.181818181818,1320,
RBH3074,HORNADY 30-178gr ELD-X (100),Punte,999.23,10,1149.1145,11491.144999999999,1498.845,1500,15000,1363.6363636363635,1360,
RBH3072,HORNADY 30-180gr BTSP (100),Punte,850.39,5,977.9484999999999,4889.742499999999,1275.585,1280,6400,1163.6363636363635,1160,
RBH3078,HORNADY 30-220gr ELD-X (100),Punte,1153.24,5,1326.2259999999999,6631.129999999999,1729.8600000000001,1730,8650,1572.7272727272725,1570,
,,Punte,,,,,,,,,,
RBH24372,HORNADY 6mm-80gr ELD-VT (100),Punte,994.8,5,1144.0199999999998,5720.099999999999,1492.1999999999998,1490,7450,1354.5454545454545,1350,
RBH2442,HORNADY 6mm-87gr BTHP (100),Punte,642.75,5,739.1624999999999,3695.8124999999995,964.125,960,4800,872.7272727272726,870,
RBH2441,HORNADY 6mm-90GR ELD-X(100),Punte,901.2,5,1036.3799999999999,5181.9,1351.8000000000002,1350,6750,1227.2727272727273,1230,
RBH24532,HORNADY 6mm-95gr SST (100),Punte,801.57,5,921.8054999999999,4609.0275,1202.355,1200,6000,1090.9090909090908,1090,
RBH2453,HORNADY 6mm-100gr BTSP (100),Punte,619.52,5,712.448,3562.24,929.28,930,4650,845.4545454545454,850,
RBH24550,HORNADY 6mm-103gr ELD-X (100),Punte,968.14,5,1113.3609999999999,5566.804999999999,1452.21,1450,7250,1318.181818181818,1320,
RBH3120,HORNADY 303-150gr SP (100),Punte,813.84,5,935.9159999999999,4679.58,1220.76,1220,6100,1109.090909090909,1110,
RBH3131,HORNADY 303-174gr FMJ BT (100),Punte,895.53,5,1029.8594999999998,5149.297499999999,1343.295,1340,6700,1218.181818181818,1220,
RBH26202,HORNADY 6.5-129gr SST (100),Punte,894.8,5,1029.02,5145.099999999999,1342.1999999999998,1340,6700,1218.181818181818,1220,
RBH26177,HORNADY 6.5-130gr ELD MATCH (100),Punte,992.8,5,1141.7199999999998,5708.599999999999,1489.1999999999998,1490,7450,1354.5454545454545,1350,
RBH263031,HORNADY 6.5-140gr HHB (500),Punte,5581.9,1,6419.1849999999995,6419.1849999999995,8372.849999999999,8370,8370,7609.090909090908,7610,
RBH26302,HORNADY 6.5-140gr SST (100),Punte,894.8,5,1029.02,5145.099999999999,1342.1999999999998,1340,6700,1218.181818181818,1220,
RBH2630,HORNADY 6.5-140gr SP (100),Punte,830.1,5,954.615,4773.075,1245.15,1250,6250,1136.3636363636363,1140,
RBH26335,HORNADY 6.5-140gr BTHP (100),Punte,860.42,5,989.4829999999998,4947.414999999999,1290.6299999999999,1290,6450,1172.7272727272725,1170,
RBH2635,HORNADY 6.5-143gr ELD-X (100),Punte,997.15,15,1146.7224999999999,17200.837499999998,1495.725,1500,22500,1363.6363636363635,1360,
RBH26333,HORNADY 6.5-147gr ELD MATCH (100),Punte,959.97,10,1103.9655,11039.655,1439.955,1440,14400,1309.090909090909,1310,
RBH2640,HORNADY 6.5-160gr RN (100),Punte,1100.8,5,1265.9199999999998,6329.599999999999,1651.1999999999998,1650,8250,1499.9999999999998,1500,
,,,,,,,,,,,,
RBH2730,HORNADY 270-130gr SP (100),Punte,709.35,5,815.7524999999999,4078.7625,1064.025,1060,5300,963.6363636363635,960,
RBH2735,HORNADY 270-140gr BTSP (100),Punte,729.41,5,838.8214999999999,4194.107499999999,1094.115,1090,5450,990.9090909090909,990,
RBH27352,HORNADY 270-140gr SST (100),Punte,822.6,5,945.99,4729.95,1233.9,1230,6150,1118.181818181818,1120,
RBH27356,HORNADY 270-145gr ELD-X (100),Punte,1069.1,5,1229.4649999999997,6147.325,1603.6499999999999,1600,8000,1454.5454545454545,1450,
RBH2740,HORNADY 270-150gr SP (100),Punte,750.91,5,863.5464999999999,4317.732499999999,1126.365,1130,5650,1027.2727272727273,1030,
RBH27402,HORNADY 270-150gr SST (100),Punte,861.7,5,990.9549999999999,4954.775,1292.5500000000002,1290,6450,1172.7272727272725,1170,
RBH28309,HORNADY 7MM-154gr IB (100),Punte,1718.3,5,1976.0449999999998,9880.224999999999,2577.45,2580,12900,2345.454545454545,2350,
RBH28302,HORNADY 7MM-154gr SST (100),Punte,928.28,5,1067.522,5337.609999999999,1392.42,1390,6950,1263.6363636363635,1260,
RBH2830,HORNADY 7MM-154gr SP (100),Punte,760.32,5,874.3679999999999,4371.84,1140.48,1140,5700,1036.3636363636363,1040,
RBH28452,HORNADY 7MM-162gr SST (100),Punte,928.28,5,1067.522,5337.609999999999,1392.42,1390,6950,1263.6363636363635,1260,
RBH2845,HORNADY 7MM-162gr BTSP (100),Punte,859.37,5,988.2755,4941.3775,1289.055,1290,6450,1172.7272727272725,1170,
